Enterprise Sales | Onboarding Learning Plan,,,,,
ParMed Pharmaceuticals,,,,,
,,,,,
Announcement - Your curriculum in mySpark has any documents needed throughout onboarding,,,,,
Day,Time (EST),Agenda item,Facilitator,Duration (in hours),Instructions
WEEK ONE,,,,,
Day 1,10:00 AM,Pharma ISS - Onboarding Program Kickoff Call - Action Learning,LBP,0.75,"Log into the Zoom meeting sent to your personal and work email. During the meeting log into mySpark and find your curriculum, launch the 'Pharma ISS - Onboarding Program Kickoff Call - Action Learning. After the meeting return to mySpark and mark it as complete."
June 1st,N/A,Okta Verify Set-up Manual,Self-paced ,N/A,Placeholder: you will receive a copy of this resource from your LBP in their Kickoff Call Recap Email. 
x,N/A,Pharmaceutical Distribution - Terms and Acronyms - Reference Guide,Self-paced ,N/A,Placeholder: you will receive a copy of this resource from your LBP in their Kickoff Call Recap Email. 
x,N/A,Department Resource Guide for ParMed,Self-paced ,N/A,Placeholder: you will receive a copy of this resource from your LBP in their Kickoff Call Recap Email. 
x,10:45 AM,Break,N/A,0.25,Break
x,11:00 AM,Welcome Meet & Greet with Leadership,Leadership,0.50,"Log into the scheduled meeting link in your Outlook calendar In this meeting ask who you are paired up with for your side by sides for the remainder of onboarding. In your mySpark curriculum launch, download, and save the Department Resource Guide for ParMed. Once the meeting is over return to mySpark and mark it as complete."
x,11:30 AM,Introduction to ParMed,Clinton & Sami,0.50,Log into the open meeting link in your Outlook calendar. In your mySpark curriculum launch the Introduction to ParMed action learning. Save it to your computer and reference it during the meeting. After the meeting return to mySpark and mark it as complete.
x,12:00 PM,Lunch ,N/A,1.00,Lunch
x,1:00 PM,Pharma - NEO (New Employee Orientation),Self-paced ,3.50,Join the CAH New Employee Overview meeting link in your Outlook calendar
x,4:30 PM,End of day,,,E.O.D
x,,,Total hours:,6.50,*Placeholder for future meet & greet while Max Finley (Director of Sales) is on leave.*
,,,,,
Day 2,N/A,ParMed - Meet with Director of Sales,N/A,,Placeholder: Max Finley is currently on leave. Work with your leadership to reschedule this meeting when he has returned.
June 2nd ,10:00 AM,ParMed Compensation Discussion,Josh/Susan,0.75,"Log into the open meeting link in your Outlook calendar. After your meeting, in your mySpark curriculum Activate and Mark Complete the ParMed Compensation Discussion item. "
x,10:45 AM,Break,N/A,0.25,Break
x,11:00 AM,Pharma ISS - Systems access - activity checklist - Action Learning,Ellen / Self-paced,1.50,Complete your Self-paced work. In your mySpark curriculum launch the Pharma ISS - Systems access - activity checklist - Action Learning and follow the instructions to complete the document. Once finished return to mySpark and mark as complete. Hit Notify Observer to notify.
x,12:30 PM,Lunch,N/A,1.00,Lunch
xl,1:30 PM,Introduction to the Independent Sales Force (ISF) business unit - eLearning,Self-paced,0.50,Complete your Self-paced work. In your mySpark curriculum take the Introduction to the Independent Sales Force (ISF) business unit - eLearning module.
x,2:00 PM,Pharmaceutical Overview (ParMed),Self-paced,0.25,Complete your Self-paced work. In your mySpark curriculum take the Pharmaceutical Overview (ParMed) module.
x,2:15 PM,ParMed - Introduction to Products and Top 50 Drugs - Action Learning,Clinton,0.50,Log into the open meeting link in your Outlook calendar. In your mySpark curriculum launch the ParMed - Introduction to Products and Top Drugs - Action Learning. Save it to your computer and reference it during the meeting. After the meeting return to mySpark and mark it as complete.
x,2:45 PM,ParMed Top Drug List - Reference Guide,Self-paced,0.50,Complete your Self-paced work. In your mySpark curriculum take the ParMed Top Drug List - Reference Guide module.
x,3:15 PM,Generics 101: Introduction to Generics,Self-paced,0.50,Complete your Self-paced work. In your mySpark curriculum take the Generics 101: Introduction to Generics module.
x,3:45 PM,Generics 102: SOURCE Generics Programs for Acute Care,Self-paced,0.50,Complete your Self-paced work. In your mySpark curriculum take the Generics 102: SOURCE Generics Programs for Acute Care module.
x,4:15 PM,ISF Introduction to over-the-counter (OTC) items - Reference Guide,Self-paced,0.50,Complete your Self-paced work. In your mySpark curriculum take the ISF Introduction to over-the-counter (OTC) items - Reference Guide module.
x,4:30 PM,Break ,N/A,0.25,Break
x,5:00 PM,ParMed - Mentor Meet and Greet Questions - Action Learning,Peer,0.50,"Log into the scheduled meeting link in your Outlook calendar. In your mySpark curriculum launch, download, and save the ParMed - Mentor Meet and Greet Questions - Action Learning. Use those questions to get to know your mentor. After the meeting return to mySpark and mark it as complete."
x,5:30 PM,Discussion: Takeaways about Generics,Natalie/Sami,0.50,Log into the open meeting link in your Outlook calendar.
x,6:00 PM,Day 2 Debrief & Game,Natalie/Clinton,0.50,"Log into the open meeting link in your Outlook calendar. After your meeting, in your mySpark curriculum Activate and Mark Complete the ParMed Day 2 Debrief and Game item."
x,6:30 PM,End of day,,,E.O.D
,,,Total hours:,8.50,
,,,,,
Day 3,10:00 AM,Pharma ISS - Intro to Selling,LBP,1.50,Log into the open meeting link in your Outlook calendar. After this meeting in your mySpark curriculum activate and mark Pharma ISS - Intro to Selling as complete.
June 3rd,11:30 AM,Break,,0.25,
x,11:45 AM,Pronunciation tips for Pharma ISS - Quick Reference Guide,Clinton,1.00,Log into the open meeting link in your Outlook calendar. In your mySpark curriculum launch the Pronunciation tips for Pharma ISS - Quick Reference Guide. Save it to your computer to use throughout onboarding. After the meeting return to mySpark and mark it as complete.
x,12:45 PM,Lunch,N/A,1.00,Lunch
,1:45 PM,Pharma ISS - Schedule Side by Sides,"
Self-paced",0.50,"No meeting during this Self-paced time. Schedule your side by sides for the week one of onboarding with your assigned mentor in Outlook, please ensure that your direct manager is on the invite as optional. If your mentor declines any of them reach out to your management team to schedule with another rep from your sites mentor bench. Please also schedule your 1:1 in week 2 with your direct leader at the time set on this schedule. IF you and another new hire are doubled up with a mentor please work together to schedule ONE meeting per side by side. Once you have scheduled your side by sides go In your mySpark curriculum to Active and mark complete the Pharma ISS - Schedule Side by Sides item."
,2:15 PM,Pharma ISS - Pronunciations and Cross Selling - Action Learning,Self-paced,0.75,"Complete your Self-paced work. In your mySpark curriculum activate and launch the Pharma ISS - Pronunciations and Cross Selling - Action Learning, follow the instructions for this Self-paced activity. Once 45min has passed return to mySpark and mark it as complete."
,3:00 PM,Break,N/A,0.25,Break
,3:15 PM,Pharma ISS - Call Calibration Quality Assurance #1 - Action Learning,Ellen/Cass,1.00,Log into the open meeting link in your Outlook calendar. In your mySpark curriculum launch the Pharma ISS - Call - Calibration Quality Assurance #1 - Action Learning. Save it to your computer to use during this meeting. After the meeting return to mySpark and mark it as complete.
,4:15 PM,Pronunciation practice with peers,New hire cohort,0.75,"Log into the open meeting link in your Outlook calendar or connect live if you are in person. As a new hire cohort, informally practice pronunciations. You have no rubric or item to mark complete in mySpark - this session is just for practice. "
,5:00 PM,Self-paced catch-up time,Self-paced,1.00,"Use this time to catch upon any in progress mySpark items, review learning materials, practice pronunciations, or complete outstanding tasks. "
,6:00 PM,ParMed Day 3 Debrief and Game,Ellen/Cass,0.50,"Log into the open meeting link in your Outlook calendar. After your meeting, in your mySpark curriculum Activate and Mark Complete the ParMed Day 3 Debrief and Game item."
,6:30 PM,End of day,,,E.O.D
,,,Total hours:,8.50,
,,,,,
Day 4,10:00 AM,ParMed Advantage ,Clinton,0.50,"Log into the open meeting link in your Outlook calendar. After your meeting, in your mySpark curriculum Activate and Mark Complete the ParMed Advantage item."
June 4th,10:30 AM,ParMed - Roleplay - Prospecting - Demonstration Presentation with 1-5 grading scale,Ellen,1.00,Log into the open meeting link in your Outlook calendar. In your mySpark curriculum launch the ParMed - Roleplay - Prospecting - Demonstration Presentation with 1-5 grading scale rubric. Save it to your computer to use reference during this role play. After the meeting return to mySpark and mark it as complete.
,11:30 AM,Break,N/A,0.25,Break
