Enterprise Sales | Onboarding Learning Plan,,,,,
ParMed Pharmaceuticals,,,,,
,,,,,
Announcement - Your curriculum in mySpark has any documents needed throughout onboarding,,,,,
Day,Start time (EST),Agenda item,Facilitator,Duration (in hours),Instructions
WEEK TWO,,,,,
Day 6,10:00 AM,ParMed - Salesforce Intro to Navigation Accounts and Contacts - Action Learning,Cass,2.00,"Log into the open meeting link in your Outlook calendar. In your mySpark curriculum Activate, Launch, and Download the ParMed - Salesforce Intro and Navigation & Accounts and Contacts - Action Learning. Follow the instructions on the document to download the two job aids for Salesforce.com. After the meeting return to mySpark and mark as complete."
June 8th,12:00 PM,Lunch,N/A,1.00,Lunch
,1:00 PM,Pharma ISS SFDC: Role Plays for Intro/Navigation & Accounts/Contacts,Sami,1.00,Log into the open meeting link in your Outlook calendar. After this meeting in your mySpark curriculum Activate and Mark Complete the Pharma ISS SFDC: Role Plays for Intro/Navigation & Accounts/Contacts item.
,2:00 PM,Pharma ISS - Call Scheduler Best Practices - Action Learning,Sami/Cass/CSR Self-paced,1.00,Log into the open meeting link in your Outlook calendar. In your mySpark curriculum Activate and Launch the Pharma ISS - Call Schedule Best Practices Action Learning. Fill it in during the session. After the meeting return to mySpark and mark complete.
,3:00 PM,Break,N/A,0.25,Break
,3:15 PM,ParMed - Pronunciations Focusing on Spelling and Cross Selling,Natalie / Self-paced,1.00,Log into the open meeting link in your Outlook calendar. After this meeting in your mySpark curriculum Activate and Mark Complete the ParMed - Pronunciations Focusing on Spelling and Cross Selling item.
,4:15 PM,Pharma ISS - Call Calibration Quality Assurance #3 - Action Learning,Ellen/Clint,1.00,"Log into the open meeting link in your Outlook calendar you scheduled with your mentor or peer. In your mySpark curriculum launch, download, save and fill in your Pharma ISS - Call Calibration Quality Assurance #3 - Action Learning. Once your side by side is complete return to mySpark and mark complete your die by side. After marking complete, take the post-test, which is copying your answers/notes from the guide you downloaded and saved into the corresponding questions in mySpark. Hit Submit Final Answers once your have answered all the questions. "
,5:15 PM,Pharma ISS - Schedule Side by Sides & catch up on outstanding tasks,Self-paced,0.75,"No meeting during this Self-paced time. Schedule your side by sides for week two with your assigned mentor in Outlook, please ensure that your direct manager is on the invite as optional. If your mentor declines any of them reach out to your management team to schedule with another rep from your sites mentor bench. IF you and another new hire are doubled up with a mentor please work together to schedule ONE meeting per side by side. Once you have scheduled your side by sides go In your mySpark curriculum to Active and mark complete the Pharma ISS - Schedule Side by Sides item."
,6:00 PM,ParMed Day 6 Debrief and Game,Clint/Sami,0.50,"Log into the open meeting link in your Outlook calendar. After your meeting, in your mySpark curriculum Activate and Mark Complete the ParMed Day 6 Debrief and Game item."
